,School Name,Starting Median Salary,Mid-Career Median Salary
140,Black Hills State University,35300.0,43900.0
139,Davenport University,39700.0,46600.0
138,Pittsburg State University,40400.0,58200.0
137,Indiana Wesleyan University (IWU),39800.0,58500.0
136,University of Wisconsin (UW) - Green Bay,35800.0,60600.0
74,Case Western Reserve University,56200.0,96500.0
73,Illinois Institute of Technology (IIT),56000.0,97800.0
72,Carleton College,47500.0,103000.0
71,University Of Chicago,53400.0,113000.0
70,University of Notre Dame,56300.0,116000.0
