,School Name,Starting Median Salary,Mid-Career Median Salary
319,Mercy College,43700.0,62600.0
318,University of Southern Maine,39400.0,63600.0
317,State University of New York (SUNY) at Fredonia,37800.0,66200.0
316,Niagara University,36900.0,69700.0
315,State University of New York (SUNY) at Potsdam,38000.0,70300.0
224,Harvard University,63400.0,124000.0
223,Yale University,59100.0,126000.0
222,Massachusetts Institute of Technology (MIT),72200.0,126000.0
221,Princeton University,66500.0,131000.0
220,Dartmouth College,58000.0,134000.0
