,School Name,Starting Median Salary,Mid-Career Median Salary
219,Florida Metropolitan University (FMU),36600.0,51000.0
218,"Lee University (Cleveland, TN)",34500.0,53900.0
217,Virginia Wesleyan College (VWC),34600.0,54900.0
216,Tusculum College,36900.0,55500.0
215,Saint Leo University,40900.0,57800.0
145,Washington and Lee University,53600.0,104000.0
144,Georgia Institute of Technology,58300.0,106000.0
143,Duke University,58900.0,106000.0
142,Georgetown University,55000.0,110000.0
141,Rice University,64000.0,110000.0
